epoch,train_loss,train_acc,train_f1,test_loss,test_acc,test_f1
1,1.71614990234375,0.7838983050847458,0.7701735411052192,1.2665367126464844,0.6,0.5537847375792422
2,0.7345563252766927,0.9915254237288136,0.9915217068093964,0.6456114500761032,0.8166666666666667,0.8127213064713065
3,0.23409283955891927,0.9957627118644068,0.9957578372159908,0.4750148504972458,0.8333333333333334,0.8352600250626567
4,0.07419954935709636,1.0,1.0,0.4063280373811722,0.8666666666666667,0.8689484126984126
5,0.04908676147460937,1.0,1.0,0.4500650614500046,0.8333333333333334,0.8390871007647324
6,0.027213160196940103,1.0,1.0,0.43451786041259766,0.85,0.8510562558356676
7,0.02199106216430664,1.0,1.0,0.45326828956604004,0.85,0.8554220085470086
8,0.017488606770833335,1.0,1.0,0.4406648129224777,0.8666666666666667,0.8707563474107591
9,0.014555740356445312,1.0,1.0,0.45133256912231445,0.8666666666666667,0.8707563474107591
10,0.012677828470865885,1.0,1.0,0.45783831179142,0.8666666666666667,0.8707563474107591
11,0.011195198694864909,1.0,1.0,0.4612080454826355,0.8666666666666667,0.8707563474107591
12,0.009864409764607748,1.0,1.0,0.4612061232328415,0.8666666666666667,0.8707563474107591
13,0.008860588073730469,1.0,1.0,0.46319060027599335,0.8666666666666667,0.8707563474107591
14,0.007902733484903971,1.0,1.0,0.4714135080575943,0.8666666666666667,0.8707563474107591
15,0.007322041193644205,1.0,1.0,0.47995562851428986,0.8833333333333333,0.8874230140774259
